0,0,11,2,A
1,1,11,2,A
1,2,12,3,A
1,3,13,4,A
1,4,14,5,A
1,5,15,6,A
1,6,16,7,A
1,7,17,8,A
1,8,18,9,A
1,9,19,10,A
1,10,20,11,A
1,11,21,12,A
1,12,22,13,A
1,13,23,14,A
1,14,24,15,A
1,15,25,16,A
1,16,26,17,A
2,1,21,3,A
2,2,22,4,A
2,3,23,5,A
2,4,24,6,A
2,5,25,7,A
2,6,26,8,A
2,7,27,9,A
2,8,28,10,A
2,9,29,11,A
2,10,30,12,A
2,11,31,13,A
2,12,32,14,A
2,13,33,15,A
2,14,34,16,A
2,15,35,17,A
2,16,36,18,A
3,1,31,4,A
3,2,32,5,A
3,3,33,6,A
3,4,34,7,A
3,5,35,8,A
3,6,36,9,A
3,7,37,10,A
3,8,38,11,A
3,9,39,12,A
3,10,40,13,A
3,11,41,14,A
3,12,42,15,A
3,13,43,16,A
3,14,44,17,A
3,15,45,18,A
3,16,46,19,A
4,1,41,5,A
4,2,42,6,A
4,3,43,7,A
4,4,44,8,A
4,5,45,9,A
4,6,46,10,A
4,7,47,11,A
4,8,48,12,A
4,9,49,13,A
4,10,50,14,A
4,11,51,15,A
4,12,52,16,A
4,13,53,17,A
4,14,54,18,A
4,15,55,19,A
4,16,56,20,A
5,1,51,6,A
5,2,52,7,A
5,3,53,8,A
5,4,54,9,A
5,5,55,10,A
5,6,56,11,A
5,7,57,12,A
5,8,58,13,A
5,9,59,14,A
5,10,60,15,A
5,11,61,16,A
5,12,62,17,A
5,13,63,18,A
5,14,64,19,A
5,15,65,20,A
5,16,66,21,A
6,1,61,7,A
6,2,62,8,A
6,3,63,9,A
6,4,64,10,A
6,5,65,11,A
6,6,66,12,A
6,7,67,13,A
6,8,68,14,A
6,9,69,15,A
6,10,70,16,A
6,11,71,17,A
6,12,72,18,A
6,13,73,19,A
6,14,74,20,A
6,15,75,21,A
6,16,76,22,A
7,1,71,8,A
7,2,72,9,A
7,3,73,10,A
7,4,74,11,A
7,5,75,12,A
7,6,76,13,A
7,7,77,14,A
7,8,78,15,A
7,9,79,16,A
